sample_id,n_het_X,n_called_X,n_het_3L,n_called_3L,n_het_3R,n_called_3R,n_het_2R,n_called_2R,n_het_2L,n_called_2L,n_het_3L_no_inv,n_called_3L_no_inv,n_het_3R_no_inv,n_called_3R_no_inv,n_het_2R_no_inv,n_called_2R_no_inv
VBS17508,148577,13240444,446411,28170310,485411,36121877,726459,46961632,552201,36824406,200414,13557260,230415,17700245,518079,35653202
VBS17509,147382,13240715,451976,28170340,470458,36102874,709423,46969564,551076,36828768,202736,13557250,233808,17701419,503676,35659467
VBS17511,154592,13239544,468323,28164571,586352,36092692,491930,46994721,568583,36815514,207370,13555152,248544,17699358,424307,35658814
VBS17512,150207,13239994,447048,28173077,564986,36099149,716985,46962375,550791,36824195,199780,13559224,234973,17699955,509596,35653812
VBS17514,148632,13239687,524833,28147524,565568,36099111,717391,46963526,546691,36825569,200907,13558926,236846,17700205,510620,35654913
VBS17515,150019,13239347,457358,28168611,568186,36098367,740038,46961890,549104,36825179,204405,13558181,240304,17699625,512226,35659038
VBS17516,151420,13239483,523202,28145745,499825,36122309,719837,46946380,556850,36820857,203094,13556460,229681,17700435,514799,35654812
VBS17517,148489,13241571,454860,28168736,504839,36122609,654908,46956402,541542,36824807,203001,13557094,234985,17702145,509311,35653778
VBS17518,175137,13238478,520329,28160152,578612,36113067,740655,46977267,643720,36813639,237209,13553199,271273,17697620,605058,35648090
VBS17520,145454,13240167,432323,28168926,502630,36124202,656618,46956963,552441,36825060,188847,13556053,234277,17701750,507676,35654542
VBS17522,152422,13240046,442090,28171579,497243,36125551,708246,46965661,552530,36826627,196074,13559328,235379,17701460,501092,35656747
VBS17523,153376,13240314,457371,28171396,504040,36122245,724811,46947238,551443,36826741,204568,13559446,239508,17700095,519894,35656034
VBS17524,148760,13243361,455891,28173059,569745,36100333,724268,46966839,548669,36828785,203841,13560156,240491,17701672,517097,35658170
VBS17526,155045,13235672,473051,28158363,522105,36111785,724741,46952442,574624,36811317,209433,13552441,250485,17696086,514093,35646159
VBS17527,147920,13239556,456436,28168465,498970,36124628,650897,46959714,550921,36826900,203222,13557435,238104,17699716,504129,35657407
VBS17528,120261,13247193,449271,28172422,498211,36125998,709625,46948944,560498,36823233,203784,13558736,232522,17703000,506545,35656361
VBS17529,150718,13240731,524281,28148225,570620,36092533,689161,46967863,532460,36827654,204538,13558823,240202,17696461,483948,35659083
VBS17532,146478,13242421,452591,28175987,563536,36104314,656046,46962473,548323,36825563,200769,13560898,236805,17703116,518644,35657272
VBS17534,147516,13242318,445795,28172690,497338,36096922,615996,46965351,557498,36824766,199538,13559149,233138,17700643,467900,35662578
VBS17539,155607,13237940,480049,28161281,594746,36087761,749429,46936166,583726,36814148,212451,13554368,252549,17694970,532194,35647902
VBS17540,211540,13203032,529019,28137525,588586,36084753,738321,46939729,650701,36781916,236210,13542909,268993,17687779,604508,35616503
VBS17541,217986,13200160,520505,28137905,585117,36082052,734836,46938385,648648,36782238,231485,13543522,266781,17686803,605923,35615363
VBS17543,216522,13202746,524025,28140530,584548,36085754,813943,46922557,646877,36785022,233910,13543088,266797,17688396,604602,35618950
VBS17544,218035,13202057,525751,28138838,623034,36070207,724246,46940547,645210,36784298,235486,13543394,271631,17686332,594623,35618439
VBS17545,215598,13205179,524415,28140817,653996,36059978,730308,46938848,645225,36787208,234295,13543140,270000,17687643,601795,35614194
VBS17546,209963,13206731,522799,28143973,614659,36074794,810136,46928112,645962,36786202,234681,13545319,269177,17687897,600065,35624447
VBS17547,216806,13201551,520246,28141945,650666,36061625,730000,46944541,641326,36786629,232680,13544594,265292,17688452,600058,35619819
VBS17548,225600,13198797,544162,28131043,603397,36076485,758584,46930883,670343,36773444,243337,13540461,274012,17684124,622045,35609253
VBS17549,214954,13202380,522336,28141399,577934,36089380,807249,46920003,645739,36785221,232921,13545516,260599,17689963,599293,35618296
VBS17550,214916,13204414,522755,28143058,578350,36090407,829397,46917621,644128,36783737,234454,13546437,260472,17691797,603570,35616962
VBS17551,217035,13203370,521964,28142868,578623,36087843,813362,46921506,646476,36783160,234913,13545940,260580,17689137,602852,35619377
VBS17552,215323,13204184,520677,28140969,583535,36084281,730210,46943667,642713,36785254,233780,13545354,266221,17686713,601001,35619359
VBS17553,214397,13202395,524593,28144049,579004,36089621,730916,46943711,645959,36783719,235398,13545145,263276,17690876,600779,35619291
VBS17554,211591,13205374,522193,28140862,506046,36100160,808534,46925430,634963,36788977,233709,13543927,244617,17692228,600907,35619970
VBS17555,215311,13204486,521667,28143836,582177,36088306,715683,46945859,641649,36786783,234165,13546685,266329,17687655,584951,35621117
VBS17556,215428,13203068,519522,28141504,623295,36072513,727172,46948120,647544,36783613,232267,13543887,269858,17686547,598181,35622641
VBS17557,213235,13202770,521893,28136968,620823,36074313,726721,46942596,643081,36783187,233488,13544247,272367,17688033,596458,35618545
VBS17558,217613,13202371,560565,28127841,661776,36058009,729917,46940774,647062,36779311,237972,13543150,275868,17685126,597730,35618201
VBS17559,192108,13204876,523887,28138076,409868,36078553,729419,46939672,643306,36785286,234049,13543986,172130,17694941,597148,35616978
VBS17560,216001,13204434,516116,28140892,656548,36061934,731159,46939666,646501,36783438,232264,13544047,271097,17688029,598155,35616681
VBS17561,216111,13203729,521967,28139846,619523,36071637,732737,46942340,640802,36786917,232685,13543278,271204,17686347,602284,35618326
VBS17562,216414,13204489,521717,28140574,582614,36088621,809562,46923373,632613,36791522,233391,13544313,264179,17689402,601930,35619996
VBS17563,216802,13203836,521911,28142354,481536,36071416,731250,46939940,648347,36784266,234377,13545147,219469,17690502,601644,35615883
VBS17564,179850,13209855,516080,28142667,653927,36061708,825539,46918955,645102,36786068,233282,13543327,269233,17687904,599570,35619475
VBS17565,215227,13203148,520071,28144776,652376,36059687,732807,46945739,644217,36786893,232814,13546254,267574,17686600,601526,35620769
VBS17566,214482,13203456,519881,28143184,624703,36074692,727093,46944367,636811,36786968,233377,13543515,270290,17688465,598896,35621010
VBS17567,216157,13203380,523041,28138261,609265,36077584,827108,46919332,641396,36787332,233009,13543647,256013,17690511,601391,35619951
VBS17568,214728,13204149,521939,28142088,585149,36086937,729578,46946006,643537,36785240,233149,13544719,267841,17688754,600938,35621810
VBS17570,215801,13203022,523025,28140497,617252,36073743,800391,46924920,637352,36788583,233728,13544367,263405,17688311,590565,35620707
VBS17571,209679,13204384,522412,28141125,579144,36086968,829502,46919796,636849,36785775,234465,13544190,262526,17690578,603612,35619819
VBS17572,215027,13203110,521803,28141044,628308,36057822,826499,46919752,643806,36785330,231876,13543895,272602,17685369,600475,35620264
VBS17573,215062,13202370,521193,28138856,582224,36089758,782716,46912086,646245,36788569,233968,13543984,264764,17691155,602133,35618975
VBS17574,188029,13209043,524669,28140603,621212,36073005,717591,46944450,644958,36784971,234193,13544309,267801,17684812,586787,35620597
VBS17575,215093,13204134,521855,28138771,576767,36088856,798599,46923090,647800,36786442,233867,13543520,260385,17689185,589187,35618763
